duration,router,agents,graph,resolver,ewma-tau,max-age,rc,time_s,orders,conflicts,avg_wait,avg_reverse,avg_speed,avg_order_time,sim_speed
43200,stat,100,maps/medium_map.geojson,reverse,300,1500,0,4.292,5871,6098,0.8463011314119361,9.96301581835068,2.1173860601163765,367.79275262817754,10841.371
43200,stat,100,maps/medium_map.geojson,reverse,300,1500,0,4.275,5889,6170,0.8484508001296445,9.614620573278684,2.1171500869906525,366.6228218214378,10879.960
43200,stat,100,maps/medium_map.geojson,reverse,300,1500,0,4.316,5849,6379,0.8795248308790639,9.895218668328294,2.1152518152443225,368.8123079534411,10783.494
43200,stat,100,maps/medium_map.geojson,reverse,300,1500,0,4.281,5901,6122,0.855652620753788,9.810720949879046,2.115568010454129,365.9117782290551,10861.030
43200,stat,100,maps/medium_map.geojson,reverse,300,1500,0,4.278,5862,6060,0.8415570934188852,9.646367374836263,2.1169816790576617,368.3282018303341,10889.494
43200,stat,100,maps/medium_map.geojson,reverse,300,1500,0,4.269,5883,5806,0.8466388081320133,9.680972895267018,2.1194777850671924,366.8906514100165,10955.447
43200,stat,100,maps/medium_map.geojson,reverse,300,1500,0,4.302,5847,5984,0.8613405670215728,9.971782435396012,2.11755169760482,369.5601718921793,10825.838
43200,stat,100,maps/medium_map.geojson,reverse,300,1500,0,4.272,5912,6010,0.8251447622319026,9.5987343965889,2.1176103841519556,365.2379099375971,10872.236
43200,stat,100,maps/medium_map.geojson,reverse,300,1500,0,4.264,5876,6033,0.8660486268953497,9.866054728012106,2.117741636667437,366.97408419140294,10924.268
43200,stat,100,maps/medium_map.geojson,reverse,300,1500,0,4.273,5901,5905,0.850776924443693,9.662919166879103,2.118666260250598,365.66879040196517,10919.720
43200,stat,100,maps/medium_map.geojson,reverse,300,1500,0,4.280,5892,6004,0.8452611218501432,9.595153725821245,2.117044408610285,366.27023271379556,10852.861
43200,stat,100,maps/medium_map.geojson,reverse,300,1500,0,4.261,5925,5897,0.8374281609129971,9.624578227591137,2.1197079722455414,364.24239959036476,10941.534
43200,stat,100,maps/medium_map.geojson,reverse,300,1500,0,4.304,5939,6135,0.8502583534206243,9.894467143263029,2.1175350958502084,363.535449777265,10801.257
43200,stat,100,maps/medium_map.geojson,reverse,300,1500,0,4.270,5830,6167,0.8698803418732147,9.821294574870718,2.115771896500014,370.4134820783495,10884.238
43200,stat,100,maps/medium_map.geojson,reverse,300,1500,0,4.312,5871,6074,0.8467966573748492,9.886088154190196,2.115725154973452,367.7962538458337,10780.752
43200,stat,100,maps/medium_map.geojson,reverse,300,1500,0,4.236,5973,6036,0.8594054241929325,9.610244490279035,2.1183569716348445,361.3273453232612,10991.987
43200,stat,100,maps/medium_map.geojson,reverse,300,1500,0,4.303,5851,6145,0.8467869415735182,9.55794645874965,2.1169242618245927,368.74005835111365,10793.809
