duration,router,agents,graph,resolver,ewma-tau,max-age,rc,time_s,orders,conflicts,avg_wait,avg_reverse,avg_speed,avg_order_time,sim_speed
43200,stat,100,maps/small_map.geojson,reverse,100,500,0,3.722,18295,44047,2.9250986933328367,3.612342302355099,1.9903595793402986,117.82910249651765,12596.491
43200,stat,100,maps/small_map.geojson,reverse,100,500,0,3.739,18445,42976,2.79490912245871,3.637156544631,1.99258698394009,117.06458915728163,12555.706
43200,stat,100,maps/small_map.geojson,reverse,100,500,0,3.735,18410,43124,2.687679612189832,3.6759402109008685,1.991902672847311,117.31032579041242,12521.733
43200,stat,100,maps/small_map.geojson,reverse,100,500,0,3.709,18355,44019,2.7431990774381325,3.4516000985909923,1.9932515108628737,117.62659632382103,12630.062
43200,stat,100,maps/small_map.geojson,reverse,100,500,0,3.770,18506,42850,2.666007268018242,3.574725554592048,1.9939955678635655,116.69758586064786,12489.995
43200,stat,100,maps/small_map.geojson,reverse,100,500,0,3.734,18464,43602,2.673361643498539,3.5849615614721206,1.993973518720275,116.73718900659046,12529.615
43200,stat,100,maps/small_map.geojson,reverse,100,500,0,3.759,18464,43019,2.678735665617317,3.6521171730191875,1.9952152403502494,117.01670463696948,12446.880
43200,stat,100,maps/small_map.geojson,reverse,100,500,0,3.722,18317,43261,2.7647182697563695,3.66164804185149,1.9910410639523304,117.93141162224877,12598.442
43200,stat,100,maps/small_map.geojson,reverse,100,500,0,3.759,18457,42729,2.6671434878369427,3.7256751237636214,1.9924139533485254,117.03684039081529,12485.817
43200,stat,100,maps/small_map.geojson,reverse,100,500,0,3.786,18458,43027,2.672967077689792,3.7421443413614384,1.9934196529128214,117.048818469438,12403.617
43200,stat,100,maps/small_map.geojson,reverse,100,500,0,3.726,18528,43966,2.729732539169472,3.4314387386663623,1.9946188044270765,116.54200329555205,12547.023
43200,stat,100,maps/small_map.geojson,reverse,100,500,0,3.711,18571,43369,2.6448968370884747,3.4714909747917186,1.9961378915409627,116.27569287083811,12582.555
43200,stat,100,maps/small_map.geojson,reverse,100,500,0,3.750,18419,43687,2.7678778080096937,3.5931902497027592,1.9933487608923788,117.23254960492278,12534.501
43200,stat,100,maps/small_map.geojson,reverse,100,500,0,3.712,18497,42781,2.7515507394716594,3.4926419185832254,1.9943851695177885,116.74951545571524,12623.406
43200,stat,100,maps/small_map.geojson,reverse,100,500,0,3.748,18449,43839,2.746592592571486,3.591513493317989,1.9924194868427847,117.0816378575714,12529.691
43200,stat,100,maps/small_map.geojson,reverse,100,500,0,3.743,18432,42947,2.8043804900372273,3.5896406775933163,1.9951476855636996,117.19352130945758,12545.488
43200,stat,100,maps/small_map.geojson,reverse,100,500,0,3.740,18426,43477,2.668445575098459,3.5922375800988733,1.9942223197762667,117.23446748281366,12547.700
43200,stat,100,maps/small_map.geojson,reverse,100,500,0,3.713,18353,44073,2.9172353431263423,3.4915531334862795,1.9909575048923964,117.68031914798526,12637.628
43200,stat,100,maps/small_map.geojson,reverse,100,500,0,3.756,18394,43379,2.7777904881517945,3.6313755485600927,1.9934228970762098,117.40144280408077,12444.533
43200,stat,100,maps/small_map.geojson,reverse,100,500,0,3.753,18433,42420,2.730168294182263,3.7282526542802548,1.9909492268025195,117.1744419693977,12493.127
43200,stat,100,maps/small_map.geojson,reverse,100,500,0,3.740,18569,43142,2.6941951742102033,3.5423836210959627,1.9944347491388301,116.29747289403689,12556.260
43200,stat,100,maps/small_map.geojson,reverse,100,500,0,3.748,18497,43149,2.737511582095709,3.6451073080416085,1.9929872185888466,116.73593039524499,12479.623
43200,stat,100,maps/small_map.geojson,reverse,100,500,0,3.721,18412,44110,2.8141035406737482,3.4264555089681075,1.992125112148999,117.33104451540805,12604.133
43200,stat,100,maps/small_map.geojson,reverse,100,500,0,3.733,18436,43451,2.7668417746583045,3.5434770660246424,1.9933553077038497,117.13838674538617,12556.617
43200,stat,100,maps/small_map.geojson,reverse,100,500,0,3.739,18619,42182,2.6963203010446892,3.597926547932253,1.996841284821292,115.99589553148536,12516.778
43200,stat,100,maps/small_map.geojson,reverse,100,500,0,3.743,18308,44165,2.7960069877470923,3.6098382019962276,1.9903837424725095,117.92834604667677,12531.626
43200,stat,100,maps/small_map.geojson,reverse,100,500,0,3.725,18500,43297,2.69769324865309,3.6385145714132476,1.9915452098604474,116.69879844027629,12567.518
43200,stat,100,maps/small_map.geojson,reverse,100,500,0,3.725,18503,42324,2.6438145560706907,3.6455415825398068,1.9933479547192505,116.71913062212637,12570.992
43200,stat,100,maps/small_map.geojson,reverse,100,500,0,3.736,18513,43049,2.6611772255074313,3.5182889810498357,1.9961627536611786,116.63057786336452,12544.617
43200,stat,100,maps/small_map.geojson,reverse,100,500,0,3.720,18331,43100,2.8255380569695947,3.527255341070829,1.991365815290435,117.83633160243456,12601.654
43200,stat,100,maps/small_map.geojson,reverse,100,500,0,3.763,18362,43317,2.7487719501028325,3.6471172462048442,1.9911319481905938,117.59322468017733,12449.269
43200,stat,100,maps/small_map.geojson,reverse,100,500,0,3.728,18526,43406,2.694757819924556,3.494781931435183,1.9955113493030974,116.58784594500236,12554.373
43200,stat,100,maps/small_map.geojson,reverse,100,500,0,3.730,18476,43758,2.678007311038883,3.493828818717438,1.9943739304392696,116.87088672658743,12583.068
43200,stat,100,maps/small_map.geojson,reverse,100,500,0,3.743,18475,44239,2.7893876295911206,3.547672280621388,1.992428740626118,116.84596308548441,12510.706
43200,stat,100,maps/small_map.geojson,reverse,100,500,0,3.740,18657,42268,2.649233591741445,3.5999999999705894,1.9963415336956363,115.78456417183526,12534.931
43200,stat,100,maps/small_map.geojson,reverse,100,500,0,3.738,18491,44082,2.7915589863839574,3.491931792987968,1.9942033787839222,116.7380404463021,12552.863
43200,stat,100,maps/small_map.geojson,reverse,100,500,0,3.769,18384,43891,2.8218671484417017,3.5339947417740394,1.9922432405265678,117.48670770476717,12474.606
43200,stat,100,maps/small_map.geojson,reverse,100,500,0,3.748,18472,41867,2.713890226266766,3.641880898963859,1.9964058896641392,116.8662266545172,12526.691
43200,stat,100,maps/small_map.geojson,reverse,100,500,0,3.730,18402,44956,2.871915557722405,3.4341477546794192,1.9891283418888788,117.42163390768937,12570.193
43200,stat,100,maps/small_map.geojson,reverse,100,500,0,3.730,18413,43312,2.7974409787823653,3.5981899884231705,1.994390364262329,117.25450270366252,12545.711
43200,stat,100,maps/small_map.geojson,reverse,100,500,0,3.720,18352,43595,2.796111267187004,3.484523303731888,1.9918876245068808,117.59869063436358,12583.129
43200,stat,100,maps/small_map.geojson,reverse,100,500,0,3.734,18488,42545,2.765920624190471,3.5545193539834545,1.9928220141464994,116.8277339825303,12572.681
43200,stat,100,maps/small_map.geojson,reverse,100,500,0,3.743,18446,42599,2.767718023662256,3.742334718131337,1.9923152492410923,117.06166648471773,12536.365
43200,stat,100,maps/small_map.geojson,reverse,100,500,0,3.744,18554,42277,2.6406053341108047,3.62377168001096,1.9968923649173616,116.35329806663847,12514.418
43200,stat,100,maps/small_map.geojson,reverse,100,500,0,3.796,18392,43435,2.8066319117823735,3.5089326855371636,1.9936187855353076,117.39896298217428,12348.787
43200,stat,100,maps/small_map.geojson,reverse,100,500,0,3.719,18441,44686,2.725767852196565,3.4308289713657207,1.9925723195296319,117.0523454032549,12581.177
43200,stat,100,maps/small_map.geojson,reverse,100,500,0,3.786,18399,43290,2.6822009623979675,3.5570679577251934,1.9951537381621323,117.35541040619083,12592.520
43200,stat,100,maps/small_map.geojson,reverse,100,500,0,3.737,18410,43042,2.722728854834532,3.6885235511544576,1.9913271421590373,117.29465883345704,12517.250
43200,stat,100,maps/small_map.geojson,reverse,100,500,0,3.725,18507,43525,2.7436355231777756,3.5853147726703605,1.9909533699800595,116.69053286354004,12548.181
43200,stat,100,maps/small_map.geojson,reverse,100,500,0,3.746,18474,43301,2.775466582934718,3.5372625768123993,1.9921582153213209,116.8847856707598,12454.510
43200,stat,100,maps/small_map.geojson,reverse,100,500,0,3.815,18518,43160,2.695414482379622,3.513879632406412,1.995969215241608,116.5825012829448,12569.858
43200,stat,100,maps/small_map.geojson,reverse,100,500,0,3.733,18378,42922,2.702221703187154,3.6870060229941264,1.994227796726004,117.44149098341477,12539.699
43200,stat,100,maps/small_map.geojson,reverse,100,500,0,3.755,18532,43285,2.718589484598113,3.5571687428929595,1.9940457875553808,116.53089415421603,12520.953
43200,stat,100,maps/small_map.geojson,reverse,100,500,0,3.733,18246,43234,2.8184314860133424,3.705934403882136,1.9888577061408623,118.33784636392602,12548.579
43200,stat,100,maps/small_map.geojson,reverse,100,500,0,3.748,18504,42753,2.671892477503746,3.6350086654812865,1.9967200158843574,116.69667712861546,12529.967
43200,stat,100,maps/small_map.geojson,reverse,100,500,0,3.747,18489,42851,2.627155321833243,3.556054747095492,1.995947148920841,116.78611299003947,12503.785
43200,stat,100,maps/small_map.geojson,reverse,100,500,0,3.725,18369,43293,2.786674714703249,3.5350021405452345,1.9898283013865294,117.4995177759195,12592.207
43200,stat,100,maps/small_map.geojson,reverse,100,500,0,3.742,18547,44419,2.7675607711452606,3.417701779697324,1.9951165521534449,116.4432768108085,12544.869
43200,stat,100,maps/small_map.geojson,reverse,100,500,0,3.740,18391,42340,2.7147928817765408,3.6936335763486157,1.996029134145434,117.46715223037721,12550.502
43200,stat,100,maps/small_map.geojson,reverse,100,500,0,3.737,18488,43432,2.7383734644943263,3.530186786983697,1.9920780989222315,116.84347508031033,12561.749
43200,stat,100,maps/small_map.geojson,reverse,100,500,0,3.741,18412,42517,2.686623076670747,3.636247685631816,1.993804920357837,117.30047056808584,12502.522
43200,stat,100,maps/small_map.geojson,reverse,100,500,0,3.745,18526,42998,2.72277089103752,3.5325326290912695,1.994621332516368,116.61966539541736,12554.505
43200,stat,100,maps/small_map.geojson,reverse,100,500,0,3.816,18432,43702,2.765608207110495,3.592419069425405,1.9918263696182814,117.19527199513786,12309.359
43200,stat,100,maps/small_map.geojson,reverse,100,500,0,3.728,18420,43224,2.8068205906565713,3.6154410097202483,1.9944929771994628,117.15790632465644,12576.306
43200,stat,100,maps/small_map.geojson,reverse,100,500,0,3.766,18498,43921,2.6950439807361817,3.544650863213685,1.9924624998375084,116.73878738571052,12432.115
43200,stat,100,maps/small_map.geojson,reverse,100,500,0,3.757,18455,43168,2.7349093339321597,3.5616893443779936,1.9947995011854809,117.04809247205401,12473.087
43200,stat,100,maps/small_map.geojson,reverse,100,500,0,3.813,18301,44151,2.8153822544408746,3.5296980400526055,1.993294378439001,118.00574750280674,12602.122
43200,stat,100,maps/small_map.geojson,reverse,100,500,0,3.720,18397,43568,2.6993293207011364,3.506979768395458,1.9908421977655795,117.41176390456832,12555.665
43200,stat,100,maps/small_map.geojson,reverse,100,500,0,3.755,18565,42969,2.7039845046832944,3.5705263157605973,1.9917889998851523,116.3563428901119,12492.413
43200,stat,100,maps/small_map.geojson,reverse,100,500,0,3.740,18472,43862,2.744815749886076,3.524920627016809,1.9904484574330032,116.91276941751651,12546.506
43200,stat,100,maps/small_map.geojson,reverse,100,500,0,3.828,18428,43274,2.846316639251975,3.5508661932518164,1.994628706278097,117.22968316844344,12541.644
43200,stat,100,maps/small_map.geojson,reverse,100,500,0,3.754,18570,43197,2.7169808592863856,3.6093910805885847,1.9924532504838792,116.23837093245663,12467.615
43200,stat,100,maps/small_map.geojson,reverse,100,500,0,3.819,18398,43749,2.852926609612008,3.6203489380379885,1.9929254778351178,117.37718601075213,12301.302
43200,stat,100,maps/small_map.geojson,reverse,100,500,0,3.755,18497,43984,2.630279301159453,3.4385296591012797,1.9967733654276156,116.75867229479685,12485.627
43200,stat,100,maps/small_map.geojson,reverse,100,500,0,3.727,18608,42666,2.642939370661928,3.5389541880838347,1.994757421624887,116.17681869487448,12566.580
43200,stat,100,maps/small_map.geojson,reverse,100,500,0,3.753,18396,44264,2.850179390882283,3.438297036481975,1.9913956922904568,117.39458444361571,12508.187
43200,stat,100,maps/small_map.geojson,reverse,100,500,0,3.758,18482,42192,2.7053410147703985,3.775547379027748,1.9923806931880585,116.81552630058906,12481.008
43200,stat,100,maps/small_map.geojson,reverse,100,500,0,3.739,18412,43420,2.753534226167976,3.6263116974011433,1.9913749099745475,117.34435589068303,12562.996
43200,stat,100,maps/small_map.geojson,reverse,100,500,0,3.751,18458,43649,2.7845996661272423,3.5964149389729605,1.9921330858575004,117.00222415007761,12469.009
43200,stat,100,maps/small_map.geojson,reverse,100,500,0,3.745,18563,43262,2.5736021598808962,3.5097984816473486,1.997184334018367,116.3724525849171,12514.638
