duration,router,agents,graph,resolver,rc,time_s,orders,conflicts,avg_wait,avg_reverse,avg_speed,avg_order_time,sim_speed
43200,astar,100,maps/small_map.geojson,reverse,0,3.388,17855,54488,3.1833983538439536,3.662424979533091,1.9341947276244797,120.99230704388044,13987.285
43200,astar,100,maps/small_map.geojson,reverse,0,3.381,17872,55791,3.2023676200422337,3.626459569125418,1.9340161458119982,120.95873976805093,14021.096
43200,astar,100,maps/small_map.geojson,reverse,0,3.396,17930,55800,3.153784879199766,3.5594383441547275,1.93542659659913,120.40281406937505,13970.104
43200,astar,100,maps/small_map.geojson,reverse,0,3.393,17883,55654,3.127030893083361,3.5704317121895346,1.9378153317937186,120.80045925413022,13958.271
43200,astar,100,maps/small_map.geojson,reverse,0,3.387,17914,55466,3.1028144999052816,3.6206094171687955,1.9357399270715512,120.52939417551545,13989.729
43200,astar,100,maps/small_map.geojson,reverse,0,3.412,17949,55135,3.1287947493799764,3.654629849066795,1.9345043586517388,120.31534426863648,13898.506
43200,astar,100,maps/small_map.geojson,reverse,0,3.376,17900,55544,3.1584762257608805,3.5016998884708657,1.9331160925139557,120.60108501020746,14028.214
43200,astar,100,maps/small_map.geojson,reverse,0,3.402,17767,58297,3.251100292514256,3.445051846602931,1.9256518379950502,121.63780583958008,13921.615
43200,astar,100,maps/small_map.geojson,reverse,0,3.385,17876,55216,3.2052006151035823,3.633924085385179,1.9360729503457097,120.84071718629967,13981.015
43200,astar,100,maps/small_map.geojson,reverse,0,3.399,17952,55492,3.2328799512788557,3.5163126941353675,1.9348454851826007,120.2618271016965,13954.875
43200,astar,100,maps/small_map.geojson,reverse,0,3.370,17729,57281,3.3274493186448253,3.494617590433285,1.929601039462761,121.61789262631373,14036.849
43200,astar,100,maps/small_map.geojson,reverse,0,3.393,17966,52695,3.0728090452026895,3.823546975729963,1.9368688056733823,120.1780895579169,13974.545
43200,astar,100,maps/small_map.geojson,reverse,0,3.380,17919,54335,3.1714944057511305,3.6510891088811857,1.9382815888407163,120.58616949812736,14019.178
43200,astar,100,maps/small_map.geojson,reverse,0,3.376,17818,57632,3.204163252626322,3.4596486283070114,1.9277931615210169,121.14762814649903,14017.622
43200,astar,100,maps/small_map.geojson,reverse,0,3.402,17730,56848,3.22679576669343,3.5871698616277716,1.9291549083937882,121.76481104798746,13890.395
43200,astar,100,maps/small_map.geojson,reverse,0,3.414,17996,55449,3.1417534762896326,3.593874875217356,1.936464547627972,119.84954403817363,13810.655
43200,astar,100,maps/small_map.geojson,reverse,0,3.433,17988,54997,3.1412773029207033,3.662286878407455,1.9370700682075188,120.08102756794811,13824.413
43200,astar,100,maps/small_map.geojson,reverse,0,3.383,17807,57392,3.2514288245733995,3.413273052623621,1.9284542876661828,121.24659784436577,14060.313
43200,astar,100,maps/small_map.geojson,reverse,0,3.403,17916,53993,3.137343352295552,3.7513989887493255,1.9398818042508308,120.43966928200355,13923.041
43200,astar,100,maps/small_map.geojson,reverse,0,3.374,17983,55879,3.2003347435734883,3.5921272836420393,1.9315296934344632,120.08181666197945,14018.718
43200,astar,100,maps/small_map.geojson,reverse,0,3.381,17853,56814,3.186519790021416,3.4837416693433787,1.9321300476274377,120.93077742479394,14044.804
