duration,router,agents,graph,resolver,ewma-tau,max-age,rc,time_s,orders,conflicts,avg_wait,avg_reverse,avg_speed,avg_order_time,sim_speed
43200,stat,1000,maps/large_map.geojson,semaphore,600,3000,0,126.622,31416,-,31.9825326531774,-,2.137362465256589,685.958958271049,342.164
43200,stat,1000,maps/large_map.geojson,semaphore,600,3000,0,125.125,31580,-,32.51947062245118,-,2.1371774466315947,682.3687148821937,346.569
43200,stat,1000,maps/large_map.geojson,semaphore,600,3000,0,126.710,31479,-,37.03118549609017,-,2.1350706349542175,684.5923956144184,341.905
43200,stat,1000,maps/large_map.geojson,semaphore,600,3000,0,122.724,31461,-,33.21014599184451,-,2.1377822461464753,685.0186514172485,353.616
